"title","score","release_date","platform"
"Arcade Archives: City Connection",NA,"2015-05-05","ps4"
"Arcade Archives: Contra",NA,"2016-09-27","ps4"
"Arcade Archives: Cosmo Police Galivan",NA,"2015-10-20","ps4"
"Arcade Archives: Crazy Climber",NA,"2015-05-26","ps4"
"Arcade Archives: Crazy Climber 2",NA,"2015-10-15","ps4"
"Arcade Archives: Double Dragon",NA,"2015-05-12","ps4"
"Arcade Archives: Double Dragon II - The Revenge",NA,"2016-02-26","ps4"
"Arcade Archives: Elevator Action",NA,"2017-11-09","ps4"
"Arcade Archives: Exerion",NA,"2015-07-07","ps4"
"Arcade Archives: Formation Armed F",NA,"2016-05-27","ps4"
"Arcade Archives: Front Line",NA,"2018-01-08","ps4"
"Arcade Archives: Gradius",NA,"2015-06-09","ps4"
"Arcade Archives: Gradius II",NA,"2016-07-15","ps4"
"Arcade Archives: Haunted Castle",NA,"2017-09-14","ps4"
"Arcade Archives: Heroic Episode",NA,"2018-02-22","ps4"
"Arcade Archives: Ikki",NA,"2015-11-03","ps4"
"Arcade Archives: Karate Champ",NA,"2015-09-29","ps4"
"Arcade Archives: Kid Niki Radical Ninja",NA,"2018-01-25","ps4"
"Arcade Archives: Kid's HoreHore Daisakusen",NA,"2016-04-26","ps4"
"Arcade Archives: KiKi KaiKai",NA,"2016-09-14","ps4"
"Arcade Archives: Life Force",NA,"2016-03-29","ps4"
"Arcade Archives: MagMax",NA,"2015-07-21","ps4"
"Arcade Archives: Mat Mania Exciting Hour",NA,"2015-03-24","ps4"
"Arcade Archives: Moon Cresta",NA,"2015-05-29","ps4"
"Arcade Archives: Moon Patrol",NA,"2018-03-22","ps4"
"Arcade Archives: Mr. Goemon",NA,"2015-09-22","ps4"
"Arcade Archives: MX 5000",NA,"2016-07-26","ps4"
"Arcade Archives: Ninja-Kid",NA,"2015-05-26","ps4"
"Arcade Archives: Ninja-Kid II",NA,"2015-10-27","ps4"
"Arcade Archives: Nova 2001",NA,"2015-06-16","ps4"
"Arcade Archives: Raiders 5",NA,"2015-06-23","ps4"
"Arcade Archives: Renegade",NA,"2015-06-02","ps4"
"Arcade Archives: Rygar",NA,"2014-08-19","ps4"
"Arcade Archives: Scramble",NA,"2015-06-30","ps4"
"Arcade Archives: Shanghai III",NA,"2015-11-24","ps4"
"Arcade Archives: Shusse Ozumo",NA,"2015-09-30","ps4"
"Arcade Archives: Soldier Girl Amazon",NA,"2016-08-09","ps4"
"Arcade Archives: Solomon's Key",NA,"2015-09-15","ps4"
"Arcade Archives: Super Dodge Ball",NA,"2015-11-10","ps4"
"Arcade Archives: Terra Cresta",NA,"2015-05-19","ps4"
"Arcade Archives: The Legend of Kage",NA,"2015-12-01","ps4"
"Arcade Archives: The Ninja Warriors",NA,"2017-09-07","ps4"
"Arcade Archives: Traverse USA",NA,"2017-12-07","ps4"
"Arcade Archives: TwinBee",NA,"2016-02-26","ps4"
"Arcade Game Series 3-in-1 Pack",NA,"2016-04-20","ps4"
"Arcade Game Series: Dig Dug",NA,"2016-04-20","ps4"
"Arcade Game Series: Galaga",NA,"2016-04-20","ps4"
"Arcade Game Series: Ms. Pac-Man",NA,"2016-04-20","ps4"
"Arcade Game Series: Pac-Man",NA,"2016-04-20","ps4"
"Arcade Land",NA,"2016-06-14","ps4"
"Arcania: The Complete Tale",42,"2015-05-12","ps4"
"Archangel",69,"2017-07-18","ps4"
"Arizona Sunshine",63,"2017-07-05","ps4"
"ARK Park",50,"2018-03-22","ps4"
"ARK: Survival Evolved",69,"2017-08-29","ps4"
"ARK: Survival Evolved - Aberration",NA,"2017-12-12","ps4"
"ARK: Survival Evolved - Scorched Earth",NA,"2016-12-06","ps4"
"ARK: Survival of the Fittest",NA,"2016-07-19","ps4"
"ArmaGallant: Decks of Destiny",NA,"2017-04-04","ps4"
"Armello",74,"2015-09-01","ps4"
"Armello: The Bandit Clan",NA,"2017-06-23","ps4"
"Armikrog",50,"2016-08-23","ps4"
"Armored Warfare",NA,"2018-02-06","ps4"
"Armored Warfare: Caribbean Crisis",NA,"2018-05-22","ps4"
"Arslan: The Warriors of Legend",69,"2016-02-09","ps4"
"Art of Balance",NA,"2016-05-31","ps4"
"Art of Fighting Anthology",NA,"2017-08-30","ps4"
"Ascendant",NA,"2015-09-08","ps4"
"Asdivine Hearts",NA,"2017-01-10","ps4"
"Asemblance",61,"2016-06-21","ps4"
"Asemblance: Oversight",NA,"2018-05-15","ps4"
"Ashes Cricket",73,"2017-11-16","ps4"
"Assassin's Creed Chronicles",NA,"2016-02-09","ps4"
"Assassin's Creed Chronicles: China",69,"2015-04-21","ps4"
"Assassin's Creed Chronicles: India",63,"2016-01-13","ps4"
"Assassin's Creed Chronicles: Russia",60,"2016-02-09","ps4"
"Assassin's Creed IV: Black Flag",83,"2013-11-12","ps4"
"Assassin's Creed IV: Black Flag - Aveline DLC",NA,"2014-04-01","ps4"
"Assassin's Creed IV: Black Flag - Freedom Cry",71,"2013-12-18","ps4"
"Assassin's Creed IV: Black Flag - Illustrious Pirates Pack",NA,"2014-01-07","ps4"
"Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeards Wrath",NA,"2013-12-10","ps4"
"Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues",NA,"2014-02-11","ps4"
"Assassin's Creed Origins",81,"2017-10-27","ps4"
"Assassin's Creed Origins: The Curse of the Pharaohs",83,"2018-03-13","ps4"
"Assassin's Creed Origins: The Hidden Ones",73,"2018-01-23","ps4"
"Assassin's Creed Origins: The Trials of the Gods",NA,"2017-11-22","ps4"
"Assassin's Creed Rogue Remastered",71,"2018-03-20","ps4"
"Assassin's Creed Syndicate",76,"2015-10-23","ps4"
"Assassin's Creed Syndicate: Jack the Ripper",72,"2015-12-15","ps4"
"Assassin's Creed Syndicate: Runaway Train",NA,"2015-10-13","ps4"
"Assassin's Creed Syndicate: Steampunk Pack",NA,"2015-11-03","ps4"
"Assassin's Creed Syndicate: The Dreadful Crimes",NA,"2015-10-23","ps4"
"Assassin's Creed Syndicate: The Last Maharaja",NA,"2016-03-01","ps4"
"Assassin's Creed Syndicate: Victorian Legends Pack",NA,"2015-11-17","ps4"
"Assassin's Creed Unity",70,"2014-11-11","ps4"
"Assassin's Creed Unity: Dead Kings",68,"2015-01-13","ps4"
"Assassin's Creed Unity: Revolutionary Armaments Pack",NA,"2014-11-25","ps4"
"Assassin's Creed Unity: Secrets of the Revolution",NA,"2015-01-20","ps4"
"Assassin's Creed Unity: Underground Armory Pack",NA,"2015-02-10","ps4"
"Assassin's Creed: The Ezio Collection",72,"2016-11-15","ps4"
"Assault Android Cactus",85,"2016-03-08","ps4"
"Assault Gunners HD Edition",45,"2018-03-20","ps4"
"Assault Gunners HD Edition: Extra Pack",NA,"2018-03-20","ps4"
"Assault Suit Leynos",67,"2016-07-14","ps4"
"Assetto Corsa",73,"2016-08-30","ps4"
"Assetto Corsa: Ferrari 70th Anniversary",NA,"2017-10-31","ps4"
"Assetto Corsa: Ultimate Edition",82,"2018-04-20","ps4"
