"title","score","release_date","platform"
"Lost Base Escape",NA,"2017-01-23","pc"
"Lost Borderline",NA,"2018-05-03","pc"
"Lost Bros",NA,"2016-02-25","pc"
"Lost Butt",NA,"2015-03-26","pc"
"Lost Castle",NA,"2016-08-31","pc"
"Lost Cities",NA,"2017-06-29","pc"
"Lost City of Aquatica",NA,"2009-06-30","pc"
"Lost City of Z: Special Edition",NA,"2009-09-18","pc"
"Lost Civilization",NA,"2014-03-17","pc"
"Lost Constellation",NA,"2015-01-01","pc"
"Lost Cosmonaut",NA,"2016-03-25","pc"
"Lost Crew",NA,"2016-09-15","pc"
"Lost Dimension",NA,"2017-10-30","pc"
"Lost Empire",NA,"2007-06-14","pc"
"Lost Empire: Immortals",58,"2008-03-11","pc"
"Lost girl's [diary]",NA,"2016-03-24","pc"
"Lost God",NA,"2018-02-07","pc"
"Lost Grimoires 2: Shard of Mystery",NA,"2017-03-09","pc"
"Lost Grimoires 3: The Forgotten Well",NA,"2017-12-14","pc"
"Lost Grimoires: Stolen Kingdom",NA,"2016-11-10","pc"
"Lost Home",NA,"2017-12-01","pc"
"Lost Horizon",77,"2010-09-24","pc"
"Lost Horizon 2",58,"2015-10-02","pc"
"Lost In 80s II",NA,"2018-03-20","pc"
"Lost in a Forest",NA,"2015-01-26","pc"
"Lost in Harmony",NA,"2016-01-21","pc"
"Lost In Maze",NA,"2017-12-26","pc"
"Lost in Paradise",NA,"2014-10-10","pc"
"Lost In Purple",NA,"2017-08-21","pc"
"Lost in Reefs",NA,"2010-02-23","pc"
"Lost in Reefs: Antarctic",NA,"2016-10-14","pc"
"Lost in Secular Love",NA,"2016-10-28","pc"
"Lost In Space",NA,"2018-02-11","pc"
"Lost In Space 2",NA,"2018-03-28","pc"
"Lost in the City",NA,"2009-03-15","pc"
"Lost in the Dungeon",NA,"2018-03-12","pc"
"Lost in the Forest",NA,"2017-09-29","pc"
"Lost in the Ocean VR",NA,"2017-02-24","pc"
"Lost in the Rift: Reborn",NA,"2016-11-15","pc"
"Lost In Woods 2",NA,"2016-09-26","pc"
"Lost jumping frog",NA,"2017-10-30","pc"
"Lost Labyrinth",NA,"2012-02-05","pc"
"Lost Lands: A Hidden Object Adventure",NA,"2015-09-24","pc"
"Lost Lands: Dark Overlord",NA,"2015-06-26","pc"
"Lost Lands: Ice Spell",NA,"2017-09-12","pc"
"Lost Lands: Mahjong",NA,"2016-03-14","pc"
"Lost Lands: The Four Horsemen",NA,"2015-01-15","pc"
"Lost Lands: The Golden Curse",NA,"2015-11-07","pc"
"Lost Lands: The Wanderer",NA,"2016-10-25","pc"
"Lost Legends",NA,"2006-02-01","pc"
"Lost Legends: The Pharaoh's Tomb",NA,"2017-06-30","pc"
"Lost Legends: The Weeping Woman",NA,"2014-07-26","pc"
"Lost Marbles",NA,"2014-05-30","pc"
"Lost Orbit",72,"2015-05-12","pc"
"Lost Planet 2",63,"2010-10-15","pc"
"Lost Planet 3",61,"2013-08-26","pc"
"Lost Planet: Extreme Condition",66,"2007-06-26","pc"
"Lost Planet: Extreme Condition Colonies Edition",70,"2008-05-27","pc"
"Lost Realms 2: The Curse of Babylon",NA,"2009-11-07","pc"
"Lost Realms: Legacy of the Sun Princess",NA,"2009-08-17","pc"
"Lost Route",NA,"2016-06-14","pc"
"Lost Saga",NA,"2009-02-28","pc"
"Lost Sea",NA,"2016-07-05","pc"
"Lost Secrets: Ancient Mysteries",NA,"2010-01-19","pc"
"Lost Secrets: Bermuda Triangle",NA,"2008-10-14","pc"
"Lost Secrets: Caribbean Explorer: Secrets of the Sea",NA,"2009-05-17","pc"
"Lost Secrets: Vatican Mysteries",NA,"2010-07-26","pc"
"Lost Shipwreck",NA,"2017-09-29","pc"
"Lost Socks: Naughty Brothers",NA,"2016-10-10","pc"
"Lost Sphear",69,"2018-01-23","pc"
"Lost Summoner Kitty",NA,"2018-01-04","pc"
"Lost Technology",NA,"2017-08-09","pc"
"Lost with Dinosaurs",NA,"2017-09-08","pc"
"Lost Words",NA,"1996-05-10","pc"
"Lost: Via Domus",52,"2008-02-26","pc"
"LostWinds",NA,"2016-03-24","pc"
"LostWinds2: Winter of the Melodias",NA,"2016-03-24","pc"
"Lotia",NA,"2017-06-02","pc"
"Lots of Balls",NA,"2018-02-26","pc"
"Lottso",NA,"2007-07-10","pc"
"LOUD on Planet X",72,"2016-04-19","pc"
"Loud or Quiet",NA,"2017-11-20","pc"
"Louie Cooks",NA,"2015-11-10","pc"
"Louisiana Adventure",NA,"2011-11-22","pc"
"Loupe",NA,"2013-05-28","pc"
"Love",NA,"2014-02-07","pc"
"Love & Order",NA,"2011-02-18","pc"
"Love Alchemy: A Heart In Winter",NA,"2014-06-17","pc"
"Love all you have left",NA,"2017-10-29","pc"
"Love at First Sight",NA,"2015-05-19","pc"
"Love Chronicles: A Winter's Spell",NA,"2015-01-08","pc"
"Love Chronicles: Beyond the Shadows",NA,"2016-04-09","pc"
"Love Chronicles: Death's Embrace",NA,"2017-07-01","pc"
"Love Chronicles: Salvation",NA,"2013-05-25","pc"
"Love Chronicles: The Spell",NA,"2017-01-25","pc"
"Love Engine",NA,"2017-01-16","pc"
"Love Hotel",NA,"2013-10-05","pc"
"Love in the Glen",NA,"2016-06-01","pc"
"Love is Blind: Mutants",NA,"2016-03-09","pc"
"Love is Dead",NA,"2018-05-31","pc"
"LOVE Obsession",NA,"2018-05-07","pc"
"Love or Loved: A Bullet For My Valentine",NA,"2018-02-02","pc"
"Love Ribbon",NA,"2017-01-27","pc"
"Love Simulation",NA,"2018-05-01","pc"
"Love Sniper",NA,"2013-07-18","pc"
"Love Story: Letters from the Past",NA,"2017-03-29","pc"
"Love Story: The Beach Cottage",NA,"2018-01-17","pc"
"Love's Epitaph",NA,"2012-04-13","pc"
"Love's Triumph",NA,"2013-05-12","pc"
"Love, By Fred Wood",NA,"2012-09-25","pc"
"Love, Guitars, and the Nashville Skyline",NA,"2016-11-22","pc"
"Love, Money, Rock'n'Roll",NA,"2019-03-01","pc"
"LoveBeat",NA,"2016-01-13","pc"
"LoveKami: Divinity Stage",NA,"2016-12-16","pc"
"LoveKami: Useless Goddess",NA,"2017-05-29","pc"
"Lovely Kitchen",NA,"2009-07-01","pc"
"Lovely Planet",61,"2014-07-31","pc"
"Lovely Planet Arcade",78,"2016-07-22","pc"
"Lovely Weather We're Having",NA,"2015-11-10","pc"
"Lovers in a Dangerous Spacetime",80,"2015-09-09","pc"
"Loving Life",NA,"2013-09-22","pc"
"Low Desert Punk",NA,"2017-09-28","pc"
"LowcoBall",NA,"2015-12-09","pc"
"Lowglow",NA,"2015-12-03","pc"
"Lowpoly Hero",NA,"2018-01-24","pc"
"Loyalty and Blood: Viktor Origins",NA,"2018-03-16","pc"
"Lozenge",NA,"2018-03-02","pc"
"LQVE: Lion Quest Versus Expanded",NA,"2017-12-14","pc"
"LSD",NA,"2017-10-17","pc"
"LSDriver",NA,"2017-01-01","pc"
"LSDriver 2",NA,"2017-07-13","pc"
"LTV-Erie Mining Company Trainset",NA,"2001-11-24","pc"
"Lucadian Chronicles",NA,"2015-10-15","pc"
"LUCASS RPG",NA,"2014-07-08","pc"
"Lucent Heart: Stadia",NA,"2012-03-20","pc"
"Luci: Horror Story",NA,"2017-01-22","pc"
"Lucid",NA,"2011-07-19","pc"
"Lucid Awakening 2",NA,"2015-01-07","pc"
"Lucid Dream",NA,"2018-03-30","pc"
"Lucid9: Inciting Incident",NA,"2016-04-14","pc"
"Lucidity",59,"2009-10-07","pc"
"Lucie",NA,"2018-03-20","pc"
"Lucinda Green's Equestrian Challenge",NA,"2007-02-05","pc"
"Lucius",59,"2012-10-26","pc"
"Lucius Demake",NA,"2016-08-09","pc"
"Lucius II",48,"2015-02-13","pc"
"Luck Charm Deluxe",NA,"2006-10-25","pc"
"Luckslinger",76,"2015-07-16","pc"
"Lucky Clover",NA,"2008-01-30","pc"
"Lucky Night: Texas Hold'em VR",NA,"2017-07-26","pc"
"Lucky Panda",NA,"2017-11-07","pc"
"Lucky Rabbit Reflex!",NA,"2011-07-22","pc"
"Lucky VS Aliens",NA,"2018-04-06","pc"
"Lucky's Tale",64,"2016-03-28","pc"
"Lucy: The Eternity She Wished For",NA,"2016-02-28","pc"
"LucyQ Deluxe",NA,"2007-03-21","pc"
"Ludo Supremo",NA,"2016-06-08","pc"
"Ludoku",NA,"2015-05-25","pc"
"Ludu",NA,"2016-12-05","pc"
"Ludwig",NA,"2014-06-06","pc"
"Luftrausers",80,"2014-03-18","pc"
"Luftwaffe Commander",NA,"1999-01-31","pc"
"Lugaru HD",NA,"2005-07-27","pc"
"Luke Sidewalker",NA,"2016-12-05","pc"
"Lula: The Sexy Empire",NA,"2015-10-17","pc"
"Lumak's Wraptiles",NA,"2017-08-18","pc"
"Lumber Island",NA,"2014-02-28","pc"
"Lumber Island - That Special Place",NA,"2015-10-01","pc"
"Lumber King",NA,"2017-08-16","pc"
"Lumberjack VR",NA,"2017-10-13","pc"
"LUMBERMANCER",NA,"2016-06-28","pc"
"Lume",69,"2011-05-09","pc"
"Lumen",NA,"2013-11-29","pc"
"Luminary: Rise of the Goonzu",NA,"2007-11-20","pc"
"Lumines",74,"2007-11-29","pc"
"Lumines Advance Pack",NA,"2008-04-18","pc"
"Lumines Remastered",NA,"2018-06-26","pc"
"Luminesca",NA,"2012-12-05","pc"
"Luminescence",NA,"2018-03-30","pc"
"Lumini",69,"2015-09-03","pc"
"Lumino City",70,"2014-12-03","pc"
"Luminosity",NA,"2015-04-09","pc"
"Luminoso",NA,"2015-03-15","pc"
"Lumo",77,"2016-05-24","pc"
"Luna",NA,"2017-08-15","pc"
"Luna",NA,"2017-10-17","pc"
"Luna and the Moonling",NA,"2017-08-29","pc"
"Luna Online - Luna Plus",NA,"2011-01-21","pc"
"Luna Online: Reborn",NA,"2017-10-06","pc"
"Luna Sky",NA,"2015-10-02","pc"
"Luna's Wandering Stars",NA,"2015-05-15","pc"
"Luna: Shattered Hearts - Episode 1",NA,"2014-11-24","pc"
"Lunaform",NA,"2017-07-18","pc"
"Lunapark VR",NA,"2018-03-09","pc"
"Lunar Flight",NA,"2012-01-10","pc"
"Lunar Panda Deluxe",NA,"2014-06-11","pc"
"Lunar Stone: Origin of Blood",NA,"2016-11-18","pc"
"Lunar Wish: Orbs of Fate",NA,"2013-09-13","pc"
"Lunatic Dawn: Legend Pack",NA,"2015-01-08","pc"
"Lunatic Dawn: Passage of the Book",NA,"2015-01-08","pc"
"Lunch Truck Tycoon",NA,"2015-05-28","pc"
"Lunch Truck Tycoon 2",NA,"2018-02-20","pc"
"Lunia: Record of Lunia War",NA,"2008-10-14","pc"
"Lunnye Devitsy",NA,"2013-02-13","pc"
"Luo Sabi Yoru FINAL WORLD",NA,"2017-05-26","pc"
"Lupinball",NA,"2017-08-17","pc"
"Lupus in Fabula",NA,"2017-07-13","pc"
"Lurk",NA,"2018-03-06","pc"
"Lust for Darkness",NA,"2018-06-12","pc"
"Luvinia Online",NA,"2011-09-08","pc"
"Luvocious",NA,"2018-01-22","pc"
"Lux Alliance",NA,"2017-06-08","pc"
"Lux Delux",NA,"2002-11-25","pc"
"Lux umbra",NA,"2017-06-13","pc"
"LUXIS",NA,"2016-10-26","pc"
"Luxor",NA,"2005-03-17","pc"
"Luxor 2",NA,"2006-11-15","pc"
"Luxor 2 HD",NA,"2013-05-13","pc"
"Luxor 3",NA,"2007-10-31","pc"
"Luxor 5th Passage",NA,"2010-11-19","pc"
"Luxor Adventures",NA,"2009-11-19","pc"
"LUXOR Evolved",NA,"2012-02-23","pc"
"Luxor HD",NA,"2015-05-11","pc"
"Luxor Mahjong",NA,"2006-01-01","pc"
"Luxor: Amun Rising",NA,"2005-11-22","pc"
"Luxor: Amun Rising HD",NA,"2012-09-03","pc"
"Luxor: Quest for the Afterlife",NA,"2008-11-04","pc"
"Luxor: The King's Collection",NA,"2008-05-06","pc"
"Luxuria Superbia",NA,"2013-11-05","pc"
"Luxury Hotel Emporium",NA,"2015-08-07","pc"
"Luxury Liner Tycoon",NA,"2004-01-20","pc"
"Lycah",NA,"2017-07-21","pc"
"Lydia",78,"2017-06-02","pc"
"Lydia: Sweet Dreams",NA,"2016-10-03","pc"
"Lylian: Paranoid Friendship",NA,"2011-06-13","pc"
"LYNE",NA,"2014-03-17","pc"
"M Mania",NA,"2018-02-23","pc"
"M.A.C.E.",NA,"2017-03-16","pc"
"M.A.C.E. Tower Defense",NA,"2017-07-16","pc"
"M.A.C.S.",NA,"2017-06-14","pc"
"M.A.R.S. - A Ridiculous Shooter",NA,"2011-04-28","pc"
"M.A.V.",NA,"2014-05-01","pc"
"M.A.X. 2",NA,"1998-07-31","pc"
"M.A.X.: Mechanized Assault & Exploration",NA,"1996-12-31","pc"
"M.C.Escher's Snowboard Throwdown",NA,"2013-10-09","pc"
"M.EXE",NA,"2016-07-29","pc"
"M.I.N.E.",NA,"2015-01-08","pc"
"M.U.D. TV",53,"2010-04-19","pc"
"M.U.G.E.N",NA,"1999-07-17","pc"
"M1 Tank Platoon II",NA,"1998-02-28","pc"
"M1: A Death in the Desert",NA,"2017-08-08","pc"
"M4 Tank Brigade",NA,"2015-08-17","pc"
"M4: Operation Tiger Hunt",NA,"2002-10-08","pc"
"Ma Hikari",NA,"2017-11-03","pc"
"Mabinogi",NA,"2008-03-01","pc"
"Macabre",NA,"2015-07-06","pc"
"Macbat 64",NA,"2017-03-17","pc"
"Mace Griffin Bounty Hunter",NA,"2004-01-07","pc"
"MacGuffin",NA,"2016-02-18","pc"
"MacGuffin's Curse",73,"2012-04-19","pc"
"Machete",NA,"2014-05-12","pc"
"MachiaVillain",69,"2018-05-16","pc"
"Machina of the Planet Tree -Planet Ruler-",NA,"2015-07-28","pc"
"Machinarium",85,"2009-10-16","pc"
"Machinations: Fog of War",NA,"2016-08-19","pc"
"Machine Crisis",NA,"2017-12-07","pc"
"Machine Gun Train Run",NA,"2016-02-26","pc"
"Machine Hell",NA,"2005-03-22","pc"
"Machine Hunt",NA,"2017-02-06","pc"
"Machine Hunter",NA,"1997-08-31","pc"
"Machine Learning: Episode I",NA,"2016-09-10","pc"
"Machine Runner",NA,"2014-01-24","pc"
"Machineers - Episode 1: Tivoli Town",NA,"2015-05-15","pc"
"Machines",NA,"1999-03-31","pc"
"Machines at War 3",NA,"2013-04-17","pc"
"MachRace",NA,"2016-06-30","pc"
"MacPool",NA,"2006-12-22","pc"
"Mactabilis",NA,"2015-07-10","pc"
"MAD - Global Thermonuclear Warfare",NA,"2001-01-31","pc"
"Mad Age And This Guy",NA,"2017-10-24","pc"
"Mad Arkanoid",NA,"2017-07-24","pc"
"Mad Bullets",NA,"2016-06-10","pc"
"Mad Caps",NA,"2004-10-12","pc"
"Mad Combat Marines",NA,"2016-07-13","pc"
"Mad Crown",NA,"2018-01-12","pc"
"Mad Dagger",NA,"2017-04-01","pc"
"Mad Dagger 2",NA,"2018-05-16","pc"
"Mad Doc Jr's Doom Rails",NA,"2009-11-04","pc"
"Mad Dog McCree",NA,"2002-12-02","pc"
"Mad Driver",NA,"2017-08-14","pc"
"Mad Father",NA,"2016-09-23","pc"
"Mad Frost",NA,"2018-05-14","pc"
"Mad Gardener: Zombie Massacre",NA,"2017-12-13","pc"
"Mad Hunter",NA,"2016-11-28","pc"
"Mad Max",73,"2015-09-01","pc"
"Mad Muzzles",NA,"2017-07-18","pc"
"Mad Nords: Probably an Epic Quest",NA,"2016-08-23","pc"
"Mad Quad",NA,"2018-01-13","pc"
"Mad Riders",NA,"2012-05-30","pc"
"Mad Riders - Daredevil Map Pack",NA,"2012-07-31","pc"
"Mad Snowboarding",NA,"2015-09-08","pc"
"Mad Tracks",NA,"2006-07-12","pc"
"Mad Zombie",NA,"2018-02-24","pc"
"Mad-Sector",NA,"2017-07-14","pc"
"Madagascar",73,"2005-05-24","pc"
"Madagascar Island Mania",NA,"2005-05-30","pc"
"Madagascar: Escape 2 Africa",58,"2008-11-04","pc"
"Madballs in Babo: Invasion",79,"2009-09-17","pc"
"Madcap Castle",NA,"2017-12-11","pc"
"Madden NFL 06",78,"2005-08-17","pc"
"Madden NFL 07",80,"2006-08-22","pc"
"Madden NFL 08",75,"2007-08-14","pc"
"Madden NFL 2000",NA,"1999-08-31","pc"
"Madden NFL 2001",78,"2000-08-24","pc"
"Madden NFL 2002",71,"2001-08-20","pc"
"Madden NFL 2003",89,"2002-08-12","pc"
"Madden NFL 2004",91,"2003-08-12","pc"
"Madden NFL 2005",85,"2004-09-14","pc"
"Madden NFL 97",NA,"1996-08-31","pc"
"Madden NFL 98",NA,"1997-10-31","pc"
"Madden NFL 99",NA,"1998-09-30","pc"
"Maddening Euphoria",NA,"2017-11-04","pc"
"Made Man: Confessions of the Family Blood",40,"2007-04-23","pc"
"Madeline Thinking Games Deluxe",NA,"1996-03-22","pc"
"Madness",NA,"2016-11-21","pc"
"Madness Cubed",NA,"2016-05-12","pc"
"Madness of the Architect",NA,"2018-02-02","pc"
"MadOut",NA,"2015-06-05","pc"
"MadOut BIG City",NA,"2017-02-20","pc"
"MadOut Ice Storm",NA,"2015-09-07","pc"
"MadOut Open City",NA,"2015-12-21","pc"
"Madrobot X",NA,"2016-09-21","pc"
"Madspace",NA,"1997-06-01","pc"
"Madu Maths",NA,"2017-09-01","pc"
"Mae Q'West and the Sign of the Stars",NA,"2009-03-02","pc"
"Maelstrom",58,"2007-02-20","pc"
"Maestia: Rise of Keledus",NA,"2012-07-19","pc"
"Maestro: Dark Talent",NA,"2014-09-11","pc"
"Maestro: Music from the Void",NA,"2013-01-31","pc"
"Maestro: Music of Death",NA,"2011-02-17","pc"
"Maestro: Notes of Life",NA,"2012-01-12","pc"
"Mafia",88,"2002-08-27","pc"
"Mafia Gambling",NA,"2018-03-11","pc"
"Mafia II",77,"2010-08-23","pc"
"Mafia II: Jimmy's Vendetta",67,"2010-09-07","pc"
"Mafia II: Joe's Adventures",NA,"2010-11-23","pc"
"Mafia III",62,"2016-10-07","pc"
"Mafia III: Faster, Baby!",62,"2017-03-27","pc"
"Mafia III: Sign of the Times",NA,"2017-07-25","pc"
"MAGATAMA Earrings",NA,"2016-06-14","pc"
"Magazine Editor",NA,"2017-02-24","pc"
"Magdalena",NA,"2016-02-22","pc"
"Mage Fort",NA,"2018-05-10","pc"
"Mage Knight: Apocalypse",47,"2006-09-26","pc"
"Mage Tower",NA,"2012-12-11","pc"
"Magebane 2",NA,"2012-04-16","pc"
"Mages of Mystralia",74,"2017-05-18","pc"
"MageSlayer",NA,"1997-09-30","pc"
"MageWorks",NA,"2016-07-22","pc"
"Maggie's Apartment",NA,"2017-08-01","pc"
"Maggie's Movies: Camera, Action!",NA,"2017-09-13","pc"
"MAGI",NA,"2007-05-29","pc"
"Magibot",NA,"2017-12-18","pc"
"Magic & Mayhem",NA,"1999-04-30","pc"
"Magic & Mayhem: The Art of Magic",71,"2001-10-26","pc"
"Magic 2015 - Garruk's Revenge",NA,"2014-11-05","pc"
"Magic Academy",NA,"2007-04-25","pc"
"Magic Academy II",NA,"2009-10-02","pc"
"Magic and Challenge RPG",NA,"2017-09-20","pc"
"Magic Ball",NA,"2004-07-27","pc"
"Magic Ball 2: New Worlds",NA,"2004-12-30","pc"
"Magic Barrage - Bitferno",NA,"2015-02-13","pc"
"Magic Book",NA,"2014-02-02","pc"
"Magic Box",NA,"2017-01-17","pc"
"Magic Carpet 2: The Netherworlds",NA,"1996-09-08","pc"
"Magic Duels: Origins",77,"2015-07-29","pc"
"Magic Encyclopedia 2: Moonlight",NA,"2009-07-10","pc"
"Magic Encyclopedia Trilogy",NA,"2010-11-18","pc"
"Magic Encyclopedia: First Story",NA,"2008-10-08","pc"
"Magic Flute",NA,"2016-02-17","pc"
"Magic Forest",NA,"2017-09-18","pc"
"Magic Gravity",NA,"2018-02-23","pc"
"Magic Heroes: Save Our Park",NA,"2017-04-18","pc"
"Magic Inlay",NA,"2004-02-12","pc"
"Magic Lantern",NA,"2017-01-29","pc"
"Magic Lanterns",NA,"2006-06-13","pc"
"Magic League",NA,"2018-04-30","pc"
"Magic Masks",NA,"2018-04-30","pc"
"Magic Match",NA,"2006-07-18","pc"
"Magic Match Adventures",NA,"2008-01-01","pc"
"Magic Match: Genie's Journey",NA,"2007-05-08","pc"
"Magic matchstick",NA,"2017-10-10","pc"
"Magic Meisters",NA,"2013-10-10","pc"
"Magic Pixel Picross",NA,"2017-08-14","pc"
"Magic Potion Destroyer",NA,"2017-09-26","pc"
"Magic Potion Explorer",NA,"2016-03-11","pc"
"Magic Quest",NA,"2016-05-06","pc"
"Magic Scroll Tactics",NA,"2018-04-27","pc"
"Magic Seeds",NA,"2008-05-16","pc"
"Magic Siege: Defender",NA,"2017-11-30","pc"
"Magic Stones",NA,"2005-10-25","pc"
"Magic Tavern",NA,"2016-11-23","pc"
"Magic Technology",NA,"2018-01-29","pc"
"Magic Tower",NA,"2017-12-31","pc"
"Magic Tower 3D",NA,"2018-02-28","pc"
"Magic Vines",NA,"2005-03-09","pc"
"Magic Wand",NA,"2017-06-25","pc"
"Magic World Online",NA,"2009-04-18","pc"
"Magic: Duels of the Planeswalkers 2014",77,"2013-06-26","pc"
"Magic: Duels of the Planeswalkers 2014 - Expansion",NA,"2013-09-18","pc"
"Magic: Duels of the Planeswalkers 2015",60,"2014-07-16","pc"
"Magic: The Gathering",NA,"1997-02-28","pc"
"Magic: The Gathering - Battlegrounds",68,"2003-11-18","pc"
"Magic: The Gathering - Duels of the Planeswalkers",69,"2010-06-15","pc"
"Magic: The Gathering - Duels of the Planeswalkers",NA,"1998-01-31","pc"
"Magic: The Gathering - Duels of the Planeswalkers - Expansion 1",NA,"2010-06-15","pc"
"Magic: The Gathering - Duels of the Planeswalkers - Expansion 2",NA,"2010-09-01","pc"
"Magic: The Gathering - Duels of the Planeswalkers - Expansion 3",NA,"2010-11-03","pc"
"Magic: The Gathering - Duels of the Planeswalkers 2012",77,"2011-06-15","pc"
"Magic: The Gathering - Duels of the Planeswalkers 2012 - Expansion",NA,"2011-09-14","pc"
"Magic: The Gathering - Duels of the Planeswalkers 2013",77,"2012-06-20","pc"
"Magic: The Gathering - Spells of the Ancients",NA,"1997-09-30","pc"
"Magic: The Gathering - Tactics",62,"2011-01-24","pc"
"Magic: The Gathering Online",75,"2002-06-14","pc"
"Magic: The Gathering Online - Champions of Kamigawa",NA,"2004-10-25","pc"
"Magic: The Gathering Online III",NA,"2008-04-22","pc"
"Magical Battle Festa",NA,"2014-11-21","pc"
"Magical Brickout",NA,"2015-08-28","pc"
"Magical Diary",NA,"2011-06-19","pc"
"Magical Drop V",NA,"2012-11-15","pc"
"Magical Eyes - Red is for Anguish",77,"2016-03-30","pc"
"Magical Fable: The Princess of Light",NA,"2018-05-31","pc"
"Magical Gloves",NA,"2012-09-05","pc"
"Magical Mysteries: Path of the Sorceress",NA,"2017-08-18","pc"
"Magical Otoge Ciel",NA,"2016-08-26","pc"
"Magical Squash",NA,"2017-11-10","pc"
"Magical Star Pillars",NA,"2018-04-25","pc"
"Magical Teacher",NA,"2012-04-13","pc"
"MAGICALxSPIRAL",NA,"2016-12-20","pc"
"MagiCat",NA,"2017-08-22","pc"
"MagicCat",NA,"2018-03-11","pc"
"Magician's Apprentice",NA,"2015-11-09","pc"
"Magician's Gambit",NA,"2017-09-01","pc"
"Magicians & Looters",NA,"2014-01-23","pc"
"Magicite",NA,"2014-02-11","pc"
"Magicka",74,"2011-01-25","pc"
"Magicka 2",69,"2015-05-26","pc"
"Magicka Collection",NA,"2011-11-22","pc"
"Magicka: Aspiring Musician Robes",NA,"2012-07-24","pc"
"Magicka: Caverns",NA,"2011-04-26","pc"
"Magicka: Dungeons and Daemons",NA,"2012-10-11","pc"
"Magicka: Dungeons and Gargoyles",NA,"2013-10-31","pc"
"Magicka: Final Frontier",NA,"2011-06-21","pc"
"Magicka: Free Jolnirs Workshop",NA,"2013-01-17","pc"
"Magicka: Frozen Lake",NA,"2011-06-21","pc"
"Magicka: Gamer Bundle",NA,"2011-09-18","pc"
"Magicka: Grimnir's Laboratory",NA,"2012-10-29","pc"
"Magicka: Heirlooms Item Pack",NA,"2012-07-24","pc"
"Magicka: Holiday Spirit Item Pack",NA,"2011-11-29","pc"
"Magicka: Horror Props Item Pack",NA,"2011-11-29","pc"
"Magicka: Lonely Island Cruise",NA,"2012-02-16","pc"
"Magicka: Marshlands",NA,"2011-04-26","pc"
"Magicka: Mega Villain Robes",NA,"2012-07-24","pc"
"Magicka: Nippon",NA,"2011-05-31","pc"
"Magicka: Party Robes",NA,"2011-06-21","pc"
"Magicka: Peculiar Gadgets Item Pack",NA,"2012-07-24","pc"
"Magicka: The Other Side of the Coin",NA,"2012-06-14","pc"
"Magicka: The Stars are Left",NA,"2011-11-29","pc"
"Magicka: The Watchtower",NA,"2011-06-21","pc"
"Magicka: Tower of Niflheim",NA,"2013-04-09","pc"
"Magicka: Vietnam",60,"2011-04-12","pc"
"Magicka: Wizard Wars",69,"2014-05-27","pc"
"Magicka: Wizard's Survival Kit",NA,"2011-03-08","pc"
"Magicka: Wizards of the Square Tablet",NA,"2013-10-31","pc"
"Magicmaker",NA,"2014-09-22","pc"
"Magikiras",NA,"2018-02-08","pc"
"Magilore",NA,"2017-11-26","pc"
"MagixHome VR",NA,"2016-11-03","pc"
"Magma Chamber",NA,"2016-04-26","pc"
"Magma Tsunami",NA,"2016-06-01","pc"
"Magnetic By Nature",NA,"2014-11-10","pc"
"Magnetic: Cage Closed",61,"2015-05-26","pc"
"Magnetis",NA,"2009-11-05","pc"
"Magnetized",NA,"2016-10-16","pc"
"Magnetron",NA,"2015-11-16","pc"
"MagNets",NA,"2014-12-07","pc"
"Magnetta",NA,"2016-08-31","pc"
"Magnificent Ships: Volume 1",NA,"2016-11-28","pc"
"Magnificent Ships: Volume 2",NA,"2017-05-16","pc"
"Magnifico",NA,"2014-12-02","pc"
"Magrunner: Dark Pulse",70,"2013-06-20","pc"
"Mah Jong Quest",NA,"2005-02-23","pc"
"MahJong",NA,"2017-11-06","pc"
"Mahjong",NA,"2017-02-20","pc"
"Mahjong Century",NA,"2006-03-28","pc"
"Mahjong Challenge",NA,"2017-08-22","pc"
"Mahjong Deluxe 2: Astral Planes",NA,"2016-07-20","pc"
"Mahjong Deluxe 3",NA,"2016-04-22","pc"
"Mahjong Destiny",NA,"2016-06-17","pc"
"Mahjong Epic",NA,"2007-11-09","pc"
"Mahjong Escape: Ancient China",NA,"2006-04-20","pc"
"Mahjong Escape: Ancient Japan",NA,"2006-12-07","pc"
"Mahjong Fortuna 2 Deluxe",NA,"2006-12-06","pc"
"Mahjong Garden Deluxe",NA,"2007-10-15","pc"
"Mahjong Garden To Go",NA,"2005-05-25","pc"
"Mahjong Halloween",NA,"2009-09-07","pc"
"Mahjong Holidays II",NA,"2009-10-14","pc"
"Mahjong Magic Islands",NA,"2017-10-24","pc"
"Mahjong Magic Journey",NA,"2018-03-09","pc"
"Mahjong Masters: Temple of the Ten Gods",NA,"2017-06-19","pc"
"Mahjong Match",NA,"2017-09-16","pc"
"Mahjong Memoirs",NA,"2009-11-23","pc"
"Mahjong Pretty Girls Battle",NA,"2015-01-21","pc"
"Mahjong Pretty Girls Battle: School Girls Edition",NA,"2015-06-22","pc"
"MahJong Quest",NA,"2007-03-26","pc"
"Mahjong Quest 2",NA,"2009-08-24","pc"
"Mahjong Quest Collection",NA,"2009-08-24","pc"
"Mahjong Riichi Multiplayer",NA,"2018-05-17","pc"
"Mahjong Roadshow",NA,"2007-10-19","pc"
"Mahjong Solitaire",NA,"2018-05-11","pc"
"Mahjong Tales: Ancient Wisdom",NA,"2007-03-07","pc"
"Mahjong Titans",NA,"2006-11-08","pc"
